,country name,2021 population,2020 population,area,density sq km,growth rate,population ratio,rank
0,China,1446364682,1439323776,9706961,149,0.34,18.34,1
1,India,1399367516,1380004385,3287590,424,0.97,17.69,2
2,United States,333777266,331002651,9372610,36,0.58,4.23,3
3,Indonesia,277625249,273523615,1904569,145,1.04,3.51,4
4,Pakistan,227103913,220892340,881912,255,1.95,2.86,5
5,Brazil,214626470,212559417,8515767,25,0.67,2.72,6
6,Nigeria,213743663,206139589,923768,229,2.55,2.68,7
7,Bangladesh,167015356,164689383,147570,1127,0.98,2.11,8
8,Russia,145902924,145934462,17098242,9,-0.02,1.85,9
9,Mexico,130853318,128932753,1964375,66,1.03,1.65,10
10,Japan,125863576,126476461,377930,334,-0.34,1.6,11
11,Ethiopia,119168948,114963588,1104300,107,2.53,1.5,12
12,Philippines,111700099,109581078,342353,324,1.34,1.41,13
13,Egypt,105112231,102334404,1002450,104,1.88,1.32,14
14,Vietnam,98536139,97338579,331212,296,0.85,1.25,15
15,Turkey,85376076,84339067,783562,109,0.83,1.08,17
16,Iran,85479927,83992949,1648195,52,1.23,1.08,18
17,Germany,83957194,83783942,357114,235,0.14,1.07,19
18,Thailand,70017810,69799978,513120,136,0.22,0.89,20
19,United Kingdom,68353388,67886011,242900,281,0.47,0.87,21
20,France,65497040,65273511,551695,119,0.23,0.83,22
21,Tanzania,62283431,59734218,945087,65,2.95,0.78,23
22,Italy,60332047,60461826,301336,200,-0.16,0.77,24
23,South Africa,60368181,59308690,1221037,49,1.24,0.76,25
24,Kenya,55527068,53771296,580367,95,2.26,0.7,26
25,Myanmar,54980726,54409800,676578,81,0.73,0.7,27
26,South Korea,51324851,51269185,100210,512,0.07,0.65,28
27,Colombia,51445596,50882891,1141748,45,0.75,0.65,29
28,Uganda,47741125,45741007,241550,195,3.02,0.6,30
29,Spain,46738878,46754778,505992,92,-0.02,0.59,31
30,Argentina,45788016,45195774,2780400,16,0.91,0.58,32
31,Sudan,45379537,43849260,1886068,24,2.42,0.57,33
32,Algeria,44952400,43851044,2381741,19,1.75,0.57,34
33,Ukraine,43350126,43733762,603500,72,-0.61,0.55,35
34,Iraq,41610203,40222493,438317,94,2.38,0.52,36
35,Afghanistan,40242065,38928346,652230,61,2.33,0.51,37
36,Canada,38213688,37742154,9984670,4,0.86,0.48,38
37,Poland,37772464,37846611,312679,121,-0.13,0.48,39
38,Morocco,37536899,36910560,446550,84,1.18,0.47,40
39,Saudi Arabia,35580894,34813871,2149690,16,1.51,0.45,41
40,Uzbekistan,34141032,33469203,447400,76,1.39,0.43,42
41,Angola,34410620,32866272,1246700,27,3.25,0.43,43
42,Peru,33531044,32971854,1285216,26,1.18,0.42,44
43,Malaysia,32956596,32365999,330803,99,1.27,0.42,45
44,Mozambique,32565458,31255435,801590,40,2.9,0.41,46
45,Ghana,32025161,31072940,238533,133,2.12,0.4,47
46,Yemen,30786110,29825964,527968,58,2.23,0.39,48
47,Nepal,29890428,29136808,147181,202,1.85,0.38,49
48,Venezuela,28808970,28435940,916445,31,0.95,0.36,50
49,Madagascar,28754328,27691018,587041,48,2.66,0.36,51
50,Cameroon,27526073,26545863,475442,57,2.56,0.35,52
51,Ivory Coast,27353324,26378274,322463,84,2.56,0.34,53
52,North Korea,25934661,25778816,120538,215,0.42,0.33,54
53,Australia,25917747,25499884,7692024,3,1.13,0.33,55
54,Niger,25543304,24206644,1267000,20,3.82,0.32,56
55,Taiwan,23872238,23816775,36193,659,0.16,0.3,57
56,Sri Lanka,21534853,21413249,65610,328,0.39,0.27,58
57,Burkina Faso,21761686,20903273,272967,79,2.84,0.27,59
58,Mali,21124713,20250833,1240192,17,2.99,0.26,60
59,Malawi,19878144,19129952,118484,166,2.71,0.25,61
60,Chile,19259818,19116201,756102,25,0.5,0.24,62
61,Romania,19078367,19237691,238391,80,-0.57,0.24,63
62,Kazakhstan,19091664,18776707,2724900,7,1.16,0.24,64
63,Zambia,19160050,18383955,752612,25,2.92,0.24,65
64,Syria,18555082,17500658,185180,99,4.43,0.23,66
65,Guatemala,18398082,17915568,108889,168,1.87,0.23,67
66,Ecuador,17998017,17643054,276841,65,1.39,0.23,68
67,Senegal,17397181,16743927,196722,87,2.7,0.22,69
68,Netherlands,17189839,17134872,41850,410,0.22,0.22,70
69,Cambodia,17047203,16718965,181035,94,1.36,0.22,71
70,Chad,17132768,16425864,1284000,13,2.98,0.21,72
71,Somalia,16566723,15893222,637657,26,2.93,0.21,73
72,Zimbabwe,15196024,14862924,390757,39,1.54,0.19,74
73,Guinea,13657656,13132795,245857,55,2.78,0.17,75
74,Rwanda,13419535,12952218,26338,504,2.5,0.17,76
75,Benin,12596987,12123200,112622,111,2.7,0.16,77
76,Burundi,12416982,11890784,27834,440,3.07,0.16,78
77,Tunisia,11986636,11818619,163610,73,0.99,0.15,79
78,Bolivia,11903963,11673021,1098581,11,1.37,0.15,80
79,Belgium,11651991,11589623,30528,381,0.37,0.15,81
80,Haiti,11603607,11402528,27750,416,1.22,0.15,82
81,South Sudan,11465891,11193725,619745,18,1.68,0.14,83
82,Cuba,11313767,11326616,109884,103,-0.08,0.14,84
83,Dominican Republic,11000510,10847910,48671,225,0.98,0.14,85
84,Czech Republic,10730893,10708981,78865,136,0.15,0.14,86
85,Greece,10347991,10423054,131990,79,-0.5,0.13,87
86,Jordan,10309652,10203134,89342,115,0.65,0.13,88
87,Azerbaijan,10260723,10139177,86600,118,0.83,0.13,89
88,Portugal,10154598,10196709,92090,110,-0.28,0.13,90
89,Sweden,10187311,10099265,450295,23,0.6,0.13,91
90,Honduras,10133202,9904607,112492,89,1.6,0.13,92
91,United Arab Emirates,10036596,9890402,83600,120,1.02,0.13,93
92,Tajikistan,9842916,9537645,143100,68,2.22,0.12,94
93,Hungary,9622137,9660351,93028,104,-0.27,0.12,95
94,Belarus,9439774,9449323,207600,45,-0.07,0.12,96
95,Papua New Guinea,9195397,8947024,462840,20,1.92,0.12,97
96,Austria,9059973,9006398,83871,108,0.41,0.11,98
97,Israel,8849258,8655535,20770,423,1.55,0.11,99
98,Switzerland,8743448,8654622,41284,211,0.7,0.11,100
99,Serbia,8680160,8737371,88361,98,-0.46,0.11,101
100,Togo,8567313,8278724,56785,149,2.41,0.11,102
101,Sierra Leone,8214317,7976983,71740,113,2.06,0.1,103
102,Hong Kong,7577676,7496981,1104,6841,0.74,0.1,104
103,Laos,7425027,7275560,236800,31,1.43,0.09,105
104,Paraguay,7258156,7132538,406752,18,1.22,0.09,106
105,Libya,6995750,6871292,1759540,4,1.27,0.09,107
106,Bulgaria,6873747,6948445,110879,62,-0.75,0.09,108
107,Lebanon,6756794,6825445,10452,648,-0.82,0.09,109
108,Nicaragua,6737165,6624554,130373,51,1.17,0.09,110
109,Kyrgyzstan,6674350,6524195,199951,33,1.6,0.08,111
110,El Salvador,6532639,6486205,21041,310,0.5,0.08,112
111,Turkmenistan,6156280,6031200,488100,13,1.44,0.08,113
112,Singapore,5918139,5850342,710,8305,0.79,0.07,114
113,Denmark,5822724,5792202,43094,135,0.36,0.07,115
114,Finland,5551936,5540720,338424,16,0.14,0.07,117
115,Norway,5485946,5421241,323802,17,0.82,0.07,118
116,Slovakia,5460884,5459642,49037,111,0.02,0.07,119
117,Oman,5278146,5106626,309500,17,2.29,0.07,120
118,Palestine,5276056,5101414,6220,840,2.38,0.07,121
119,Liberia,5234974,5057681,111369,47,2.42,0.07,122
120,Costa Rica,5158880,5094118,51100,101,0.88,0.07,123
121,Ireland,5002247,4937786,70273,71,0.91,0.06,124
122,Central African Republic,4959149,4829767,622984,8,1.87,0.06,125
123,New Zealand,4878033,4822233,270467,18,0.8,0.06,126
124,Mauritania,4830702,4649658,1030700,5,2.7,0.06,127
125,Panama,4410996,4314767,75417,58,1.55,0.06,128
126,Kuwait,4357317,4270571,17818,243,1.36,0.05,129
127,Croatia,4071087,4105267,56594,72,-0.58,0.05,130
128,Moldova,4019468,4033963,33846,119,-0.25,0.05,131
129,Georgia,3975377,3989167,69700,57,-0.24,0.05,132
130,Eritrea,3625846,3546421,117600,31,1.55,0.05,133
131,Uruguay,3490189,3473730,181034,19,0.33,0.04,134
132,Mongolia,3351880,3278290,1564110,2,1.56,0.04,135
133,Bosnia And Herzegovina,3254527,3280819,51209,64,-0.53,0.04,136
134,Jamaica,2978826,2961167,10991,271,0.42,0.04,137
135,Armenia,2970240,2963243,29743,100,0.16,0.04,138
136,Qatar,2954582,2881053,11586,253,1.72,0.04,139
137,Albania,2870495,2877797,28748,100,-0.17,0.04,140
138,Puerto Rico,2812165,2860853,8870,319,-1.14,0.04,141
139,Lithuania,2675397,2722289,65300,41,-1.19,0.03,142
140,Namibia,2607822,2540905,825615,3,1.83,0.03,143
141,Gambia,2518150,2416668,10689,233,2.91,0.03,144
142,Botswana,2417069,2351627,582000,4,1.94,0.03,145
143,Gabon,2302716,2225734,267668,9,2.39,0.03,146
144,Lesotho,2166718,2142249,30355,71,0.79,0.03,147
145,North Macedonia,2082170,2083374,25713,81,-0.03,0.03,148
146,Slovenia,2078724,2078938,20273,103,-0.01,0.03,149
147,Guinea Bissau,2036622,1968001,36125,56,2.41,0.03,150
148,Latvia,1858491,1886198,64559,29,-1.02,0.02,151
149,Bahrain,1768774,1701575,765,2285,2.75,0.02,152
150,Equatorial Guinea,1470699,1402985,28051,52,3.34,0.02,153
151,Trinidad And Tobago,1405163,1399488,5130,274,0.28,0.02,154
152,Timor Leste,1355087,1318445,14874,90,1.93,0.02,155
153,Estonia,1324535,1326535,45227,29,-0.1,0.02,156
154,Mauritius,1274083,1271768,2040,624,0.13,0.02,157
155,Cyprus,1219322,1207359,9251,131,0.68,0.02,158
156,Djibouti,1008363,988000,23200,43,1.44,0.01,160
157,Fiji,905669,896445,18272,49,0.72,0.01,161
158,Reunion,904449,895312,2511,359,0.71,0.01,162
159,Comoros,896902,869601,1862,477,2.17,0.01,163
160,Guyana,791951,786552,214969,4,0.48,0.01,164
161,Bhutan,783636,771608,38394,20,1.07,0.01,165
162,Solomon Islands,711635,686884,28896,24,2.49,0.01,166
163,Macau,662620,649335,30,21946,1.4,0.01,167
164,Luxembourg,638877,625978,2586,245,1.41,0.01,168
165,Montenegro,628053,628066,13812,45,-0.0,0.01,169
166,Western Sahara,618213,597339,266000,2,2.43,0.01,170
167,Suriname,594075,586632,163820,4,0.88,0.01,171
168,Cape Verde,564498,555987,4033,139,1.06,0.01,172
169,Maldives,545567,540544,300,1812,0.57,0.01,173
170,Malta,443434,441543,316,1401,0.28,0.01,174
171,Brunei,443320,437479,5765,77,0.93,0.01,175
172,Belize,408164,397628,22966,18,1.83,0.01,176
173,Bahamas,398538,393244,13943,28,0.93,0.01,178
174,Martinique,374420,375265,1128,332,-0.14,0.0,179
175,Iceland,344328,341243,103000,3,0.62,0.0,180
176,Vanuatu,317714,307145,12189,26,2.38,0.0,181
177,New Caledonia,289356,285498,18575,16,0.95,0.0,183
178,Barbados,287874,287375,430,669,0.12,0.0,184
179,French Polynesia,283180,280908,4167,68,0.58,0.0,185
180,Mayotte,282440,272815,374,747,2.46,0.0,186
181,Sao Tome And Principe,225318,219159,964,232,1.92,0.0,187
182,Samoa,200799,198414,2842,70,0.87,0.0,188
183,Saint Lucia,184725,183627,616,299,0.42,0.0,189
184,Guam,170829,168775,549,310,0.83,0.0,190
185,Curacao,165123,164093,444,371,0.43,0.0,191
186,Kiribati,122205,119449,811,150,1.63,0.0,192
187,Micronesia,116742,115023,702,166,1.07,0.0,193
188,Grenada,113184,112523,344,329,0.44,0.0,194
189,Aruba,107204,106766,180,596,0.41,0.0,196
190,Tonga,107248,105695,747,143,1.01,0.0,197
191,United States Virgin Islands,104063,104425,347,300,-0.19,0.0,198
192,Seychelles,99071,98347,452,219,0.57,0.0,199
193,Antigua And Barbuda,99056,97929,442,223,0.82,0.0,200
194,Andorra,77355,77265,468,165,0.12,0.0,202
195,Dominica,72167,71986,751,96,0.25,0.0,203
196,Cayman Islands,66497,65722,264,252,1.18,0.0,204
197,Bermuda,62090,62278,54,1150,-0.3,0.0,205
198,Marshall Islands,59610,59190,181,329,0.71,0.0,206
199,Northern Mariana Islands,57917,57559,464,125,0.62,0.0,207
200,Greenland,56877,56770,2166086,0,0.19,0.0,208
201,American Samoa,55100,55191,199,277,-0.16,0.0,209
202,Saint Kitts And Nevis,53544,53199,261,205,0.65,0.0,210
203,Faroe Islands,49049,48863,1393,35,0.38,0.0,211
204,Sint Maarten,43412,42876,34,1277,1.25,0.0,212
205,Monaco,39511,39242,2,19756,0.69,0.0,213
206,Saint Martin,39234,38666,53,740,1.47,0.0,214
207,Turks And Caicos Islands,39231,38717,948,41,1.33,0.0,215
208,Liechtenstein,38250,38128,160,239,0.32,0.0,216
209,San Marino,34017,33931,61,558,0.25,0.0,217
210,Gibraltar,33698,33691,6,5616,0.02,0.0,218
211,Palau,18169,18094,459,40,0.41,0.0,220
212,Cook Islands,17565,17564,236,74,0.01,0.0,221
213,Anguilla,15117,15003,91,166,0.76,0.0,222
214,Tuvalu,11931,11792,26,459,1.18,0.0,223
215,Wallis And Futuna,11094,11239,142,78,-1.29,0.0,224
216,Nauru,10876,10824,21,518,0.48,0.0,225
217,Saint Barthelemy,9907,9877,21,472,0.3,0.0,226
218,Saint Pierre And Miquelon,5766,5794,242,24,-0.48,0.0,227
219,Montserrat,4977,4992,102,49,-0.3,0.0,228
220,Falkland Islands,3533,3480,12173,0,1.52,0.0,229
221,Niue,1619,1626,260,6,-0.43,0.0,230
222,Tokelau,1373,1357,12,114,1.18,0.0,231
223,Vatican City,800,801,1,800,-0.12,0.0,232
